sigma,001,011,111
629,7.6503E-05,0,0
617,0.0000E+00,5.7952E-09,0
669,0,0,1.4841E+00
445,7.0491E-02,0,0
387,0,2.0825E-10,0
343,0,0,0.0000E+00
421,NaN,0,0.0000E+00
73,1.4060E-08,1.6345E-09,NaN
637,0,0,2.0404E-09
325,5.2592E+01,0,0
113,9.2458E-01,1.7129E+00,0
305,5.0759E+01,0,0
5,NaN,0,0
139,0,1.9970E+00,0.0000E+00
277,0.0000E+00,0,3.7253E-10
257,3.3320E-09,1.7719E+00,0
537,0,2.4737E-05,0
577,1.0340E-04,NaN,1.5656E+00
603,0,1.5975E+00,0
229,4.3789E-03,0,1.8007E+00
631,0,0,9.0190E-06
563,0,0,0
339,0,3.5859E-02,0
697,0,1.3075E+00,0
321,0,8.8507E-03,0
177,0,0.0000E+00,0
511,0,0,1.7844E+00
523,0,9.3132E-11,1.2761E+00
587,0,0.0000E+00,0
533,NaN,0,0
149,3.3579E-10,0,0
19,0,1.5222E+00,0.0000E+00
51,0,9.4639E-09,0
457,0.0000E+00,0.0000E+00,2.6591E-01
145,4.5039E+01,0,0
67,0,NaN,8.3711E-01
309,0,0,1.7363E+00
641,4.9082E+01,0.0000E+00,0
601,6.9602E-27,7.5247E-09,NaN
521,1.4779E+00,4.0861E-01,0
101,0,0,0
661,2.1310E+01,0,3.8239E+01
363,0,1.5054E+00,0
93,0,0,2.3307E+01
459,0,2.7801E-01,0
249,0,1.6216E-06,0
569,1.6778E+00,5.5243E-02,0
43,0,1.0191E+00,0.0000E+00
283,0,1.4294E-06,0.0000E+00
107,0,6.0324E-01,0
37,4.3694E+01,0,3.5882E-01
449,1.5669E+00,1.7715E+00,0
211,0,1.7769E+00,1.8601E+00
377,8.9602E-07,0,0
673,2.6867E+01,3.1133E-50,NaN
57,0,1.7576E+00,7.6058E-01
83,0,3.0416E+01,0
201,0,0.0000E+00,1.7230E+00
485,1.3345E+00,0,0
327,0,0,1.9745E+00
133,0,0,9.9571E-01
401,NaN,NaN,0
129,0,8.4696E-01,1.1395E-01
337,5.2561E+01,1.6095E+00,1.1330E-09
221,3.8983E-01,0,0
613,4.8727E-01,0,1.7180E-04
473,0,4.4033E-05,0
703,0,0,NaN
233,2.7197E+01,1.5702E+00,0
553,0,0,8.1326E-01
443,0,NaN,0
657,0,1.7044E+00,0
633,0,8.1764E-15,4.8338E-20
91,0,0,1.5414E-08
593,NaN,1.3787E+00,0
493,1.0706E+00,0,0
481,0,0,0.0000E+00
607,0,0,0.0000E+00
89,4.8417E+01,4.0124E+01,0
439,0,0,1.2837E+00
469,0,0,1.5199E+00
199,0,0,3.7869E+01
461,0,0,0
643,0,9.1251E-10,0.0000E+00
489,0,1.4676E-06,0.0000E+00
281,3.4612E+01,NaN,0
689,0.0000E+00,0,0
111,0,0,1.7562E+00
85,1.0413E-10,0,0
353,NaN,0,0
269,4.2702E+01,0,0
103,0,0,0
373,7.3082E-04,0,1.5611E+00
121,0,1.8537E+00,0
