9.15,7.6503E-05
9.8,0.0000E+00
19.27,1.4841E+00
10.88,7.0491E-02
41.69,2.0825E-10
5.36,0.0000E+00
3.95,NaN
11.64,NaN
15.78,2.0404E-09
6.36,5.2592E+01
7.63,9.2458E-01
26.48,5.0759E+01
36.87,NaN
42.18,1.9970E+00
42.72,3.7253E-10
41.33,1.7719E+00
14.02,2.4737E-05
89.9,NaN
23.5,1.5975E+00
15.19,4.3789E-03
57.72,9.0190E-06
6.23,3.5859E-02
30.75,1.3075E+00
36.81,8.8507E-03
24.55,0.0000E+00
26.58,1.7844E+00
39.85,1.2761E+00
14.23,0.0000E+00
9.94,NaN
20.02,3.3579E-10
46.83,0.0000E+00
16.1,9.4639E-09
32.95,2.6591E-01
6.73,4.5039E+01
24.43,8.3711E-01
40.35,1.7363E+00
18.18,4.9082E+01
23.54,6.9602E-27
15.1,4.0861E-01
26.99,2.1310E+01
8.51,1.5054E+00
42.1,2.3307E+01
55.04,2.7801E-01
52.67,1.6216E-06
56.63,5.5243E-02
15.18,0.0000E+00
81.67,1.4294E-06
33.72,6.0324E-01
50.57,3.5882E-01
15.34,1.7715E+00
6.84,1.8601E+00
20.98,8.9602E-07
22.22,3.1133E-50
44,1.7576E+00
17.86,3.0416E+01
35.57,1.7230E+00
32.38,1.4779E+00
5.21,1.3345E+00
10.99,1.9745E+00
8.61,9.9571E-01
5.72,NaN
44.82,1.1395E-01
4.77,1.0340E-04
44.83,1.6095E+00
5.45,3.8983E-01
36.7,1.7180E-04
30.15,4.4033E-05
40.5,7.5247E-09
3.74,NaN
21.36,1.5702E+00
4.22,8.1326E-01
33.25,1.8007E+00
7.71,NaN
25.5,1.7044E+00
12.91,8.1764E-15
10.42,1.5414E-08
43.38,1.3787E+00
15.53,1.0706E+00
12.11,0.0000E+00
34.89,4.0124E+01
4.84,0.0000E+00
23.85,1.2837E+00
13.78,1.5199E+00
14.11,3.7869E+01
64.3,1.7129E+00
19.26,9.1251E-10
36.52,0.0000E+00
64.95,NaN
9.27,0.0000E+00
9.43,1.7562E+00
8.8,1.0413E-10
39.6,NaN
14.86,4.2702E+01
42.5,7.3082E-04
79.04,1.8537E+00
38.21,8.6493E-02
52.17,6.1479E-01
28.35,7.3113E-26
49.01,1.0487E+00
29.84,1.3642E+00
21.77,0.0000E+00
21.79,1.5017E-09
3.89,NaN
45.98,0.0000E+00
31.89,NaN
29.41,6.1381E-01
26.01,1.8317E+00
7.93,3.9718E-08
74.91,0.0000E+00
20.9,0.0000E+00
38.58,1.5669E+00
48.36,2.3459E-08
35.98,0.0000E+00
36.29,5.2684E-10
35.05,4.4714E-01
