sigma,001,011,111
499,0,0,0.0000E+00
265,1.1322E-01,0,0
559,0,0,0.0000E+00
653,0.0000E+00,0,0
433,0.0000E+00,0.0000E+00,0.0000E+00
699,0,0.0000E+00,0
9,0,0,0
683,0,0.0000E+00,0
49,0,0,0.0000E+00
619,0,1.3086E-01,0.0000E+00
153,0,6.7068E-02,0
247,0,0,6.2474E-02
579,0,6.1154E-02,0.0000E+00
557,2.6365E+02,0,0
81,0,4.3360E-02,0
681,0,0.0000E+00,0
169,1.3370E+02,0,0.0000E+00
453,0,0,0.0000E+00
403,0,0,3.2294E-02
597,0,0,1.3587E-01
25,1.1771E-06,0,0
217,0,0,0.0000E+00
531,0,0.0000E+00,0
411,0,6.2981E-02,0
243,0,0.0000E+00,0
259,0,0,1.0438E-01
187,0,0.0000E+00,0
565,0.0000E+00,0,0
173,1.6201E+02,0,0
127,0,0,0.0000E+00
179,0,0.0000E+00,0
687,0,0,3.5649E-02
39,0,0,0.0000E+00
471,0,0,0.0000E+00
509,0,0,0
33,0,3.4194E-02,0
677,0.0000E+00,0,0
209,0,0.0000E+00,0
685,9.3187E-02,0,0
317,0,0,0
505,2.5355E+02,0,0
267,0,0.0000E+00,0
293,0.0000E+00,0,0
389,0.0000E+00,0,0
545,0.0000E+00,0,0
451,0,1.2919E-01,0
347,0,2.7665E-02,0
331,0,0.0000E+00,0
251,0,0,0
197,0,0,0
543,0,0,0
691,0,0,6.7126E-02
79,0,0,0
649,0,0,0
399,0,0,1.3305E-01
